País,Clics,Impresiones,CTR,Posición
Colombia,501,11712,4.28%,9.3
Estados Unidos,5,280,1.79%,8.92
Ecuador,2,26,7.69%,9
Panamá,2,9,22.22%,13.33
España,1,81,1.23%,32.72
Argentina,1,29,3.45%,27.9
Alemania,1,20,5%,9.1
Chile,1,20,5%,20.7
Canadá,1,19,5.26%,7.05
Francia,1,11,9.09%,14
Suiza,1,2,50%,7.5
México,0,43,0%,12.6
Venezuela,0,18,0%,6.33
Perú,0,15,0%,12.33
Países Bajos,0,12,0%,9.92
Brasil,0,11,0%,10.82
Italia,0,10,0%,50.5
Guatemala,0,7,0%,10.14
Reino Unido,0,7,0%,14
La India,0,7,0%,20
Costa Rica,0,6,0%,5.33
Honduras,0,6,0%,7.83
Bolivia,0,5,0%,8.4
República Dominicana,0,5,0%,9.8
Vietnam,0,4,0%,6
El Salvador,0,4,0%,7.75
Paraguay,0,4,0%,11
Nicaragua,0,4,0%,11.25
Austria,0,3,0%,5.33
Polonia,0,3,0%,5.67
Ucrania,0,3,0%,6.33
Japón,0,3,0%,6.67
Uruguay,0,3,0%,8.33
Bélgica,0,3,0%,8.67
Aruba,0,3,0%,12
Corea del Sur,0,3,0%,22.67
Malasia,0,3,0%,30.33
China,0,2,0%,2
Finlandia,0,2,0%,7.5
Caribe Neerlandés,0,2,0%,9
Taiwán,0,2,0%,18.5
Kenia,0,2,0%,21
Lituania,0,1,0%,2
Montenegro,0,1,0%,2
Indonesia,0,1,0%,3
Emiratos Árabes Unidos,0,1,0%,5
Turquía,0,1,0%,6
Dinamarca,0,1,0%,7
Jordania,0,1,0%,7
Bangladés,0,1,0%,8
Irlanda,0,1,0%,8
Marruecos,0,1,0%,8
Seychelles,0,1,0%,8
Portugal,0,1,0%,9
Maldivas,0,1,0%,10
Puerto Rico,0,1,0%,10
Singapur,0,1,0%,10
Turkmenistán,0,1,0%,11
Australia,0,1,0%,15
Egipto,0,1,0%,25
Mongolia,0,1,0%,33
Rusia,0,1,0%,36
Filipinas,0,1,0%,51
Suecia,0,1,0%,89